情景编号,天气序列,是否成功,到达日,在线终端财富,Oracle终端财富,Regret
102,SSSHHSSHSH,True,3,9430.0,9670.0,240.0
103,SSSHHSSHHS,True,3,9430.0,9670.0,240.0
104,SSSHHSSHHH,True,3,9430.0,9670.0,240.0
105,SSSHHSHSSS,True,3,9430.0,9670.0,240.0
106,SSSHHSHSSH,True,3,9430.0,9670.0,240.0
107,SSSHHSHSHS,True,3,9430.0,9670.0,240.0
108,SSSHHSHSHH,True,3,9430.0,9670.0,240.0
109,SSSHHSHHSS,True,3,9430.0,9670.0,240.0
110,SSSHHSHHSH,True,3,9430.0,9670.0,240.0
111,SSSHHSHHHS,True,3,9430.0,9670.0,240.0
112,SSSHHSHHHH,True,3,9430.0,9670.0,240.0
113,SSSHHHSSSS,True,3,9430.0,9670.0,240.0
114,SSSHHHSSSH,True,3,9430.0,9670.0,240.0
115,SSSHHHSSHS,True,3,9430.0,9670.0,240.0
116,SSSHHHSSHH,True,3,9430.0,9670.0,240.0
117,SSSHHHSHSS,True,3,9430.0,9670.0,240.0
118,SSSHHHSHSH,True,3,9430.0,9670.0,240.0
119,SSSHHHSHHS,True,3,9430.0,9670.0,240.0
120,SSSHHHSHHH,True,3,9430.0,9670.0,240.0
121,SSSHHHHSSS,True,3,9430.0,9670.0,240.0
122,SSSHHHHSSH,True,3,9430.0,9670.0,240.0
123,SSSHHHHSHS,True,3,9430.0,9670.0,240.0
124,SSSHHHHSHH,True,3,9430.0,9670.0,240.0
125,SSSHHHHHSS,True,3,9430.0,9670.0,240.0
126,SSSHHHHHSH,True,3,9430.0,9670.0,240.0
127,SSSHHHHHHS,True,3,9430.0,9670.0,240.0
128,SSSHHHHHHH,True,3,9430.0,9670.0,240.0
129,SSHSSSSSSS,True,3,9350.0,9535.0,185.0
130,SSHSSSSSSH,True,3,9350.0,9535.0,185.0
131,SSHSSSSSHS,True,3,9350.0,9535.0,185.0
132,SSHSSSSSHH,True,3,9350.0,9535.0,185.0
133,SSHSSSSHSS,True,3,9350.0,9535.0,185.0
134,SSHSSSSHSH,True,3,9350.0,9535.0,185.0
135,SSHSSSSHHS,True,3,9350.0,9535.0,185.0
136,SSHSSSSHHH,True,3,9350.0,9535.0,185.0
137,SSHSSSHSSS,True,3,9350.0,9535.0,185.0
138,SSHSSSHSSH,True,3,9350.0,9535.0,185.0
139,SSHSSSHSHS,True,3,9350.0,9535.0,185.0
140,SSHSSSHSHH,True,3,9350.0,9535.0,185.0
141,SSHSSSHHSS,True,3,9350.0,9535.0,185.0
142,SSHSSSHHSH,True,3,9350.0,9535.0,185.0
143,SSHSSSHHHS,True,3,9350.0,9535.0,185.0
144,SSHSSSHHHH,True,3,9350.0,9535.0,185.0
145,SSHSSHSSSS,True,3,9350.0,9535.0,185.0
146,SSHSSHSSSH,True,3,9350.0,9535.0,185.0
147,SSHSSHSSHS,True,3,9350.0,9535.0,185.0
148,SSHSSHSSHH,True,3,9350.0,9535.0,185.0
149,SSHSSHSHSS,True,3,9350.0,9535.0,185.0
150,SSHSSHSHSH,True,3,9350.0,9535.0,185.0
151,SSHSSHSHHS,True,3,9350.0,9535.0,185.0
152,SSHSSHSHHH,True,3,9350.0,9535.0,185.0
153,SSHSSHHSSS,True,3,9350.0,9535.0,185.0
154,SSHSSHHSSH,True,3,9350.0,9535.0,185.0
155,SSHSSHHSHS,True,3,9350.0,9535.0,185.0
156,SSHSSHHSHH,True,3,9350.0,9535.0,185.0
157,SSHSSHHHSS,True,3,9350.0,9535.0,185.0
158,SSHSSHHHSH,True,3,9350.0,9535.0,185.0
159,SSHSSHHHHS,True,3,9350.0,9535.0,185.0
160,SSHSSHHHHH,True,3,9350.0,9535.0,185.0
161,SSHSHSSSSS,True,3,9350.0,9535.0,185.0
162,SSHSHSSSSH,True,3,9350.0,9535.0,185.0
163,SSHSHSSSHS,True,3,9350.0,9535.0,185.0
164,SSHSHSSSHH,True,3,9350.0,9535.0,185.0
165,SSHSHSSHSS,True,3,9350.0,9535.0,185.0
166,SSHSHSSHSH,True,3,9350.0,9535.0,185.0
167,SSHSHSSHHS,True,3,9350.0,9535.0,185.0
168,SSHSHSSHHH,True,3,9350.0,9535.0,185.0
169,SSHSHSHSSS,True,3,9350.0,9535.0,185.0
170,SSHSHSHSSH,True,3,9350.0,9535.0,185.0
171,SSHSHSHSHS,True,3,9350.0,9535.0,185.0
172,SSHSHSHSHH,True,3,9350.0,9535.0,185.0
173,SSHSHSHHSS,True,3,9350.0,9535.0,185.0
174,SSHSHSHHSH,True,3,9350.0,9535.0,185.0
175,SSHSHSHHHS,True,3,9350.0,9535.0,185.0
176,SSHSHSHHHH,True,3,9350.0,9535.0,185.0
177,SSHSHHSSSS,True,3,9350.0,9535.0,185.0
178,SSHSHHSSSH,True,3,9350.0,9535.0,185.0
179,SSHSHHSSHS,True,3,9350.0,9535.0,185.0
180,SSHSHHSSHH,True,3,9350.0,9535.0,185.0
181,SSHSHHSHSS,True,3,9350.0,9535.0,185.0
182,SSHSHHSHSH,True,3,9350.0,9535.0,185.0
183,SSHSHHSHHS,True,3,9350.0,9535.0,185.0
184,SSHSHHSHHH,True,3,9350.0,9535.0,185.0
185,SSHSHHHSSS,True,3,9350.0,9535.0,185.0
186,SSHSHHHSSH,True,3,9350.0,9535.0,185.0
187,SSHSHHHSHS,True,3,9350.0,9535.0,185.0
188,SSHSHHHSHH,True,3,9350.0,9535.0,185.0
189,SSHSHHHHSS,True,3,9350.0,9535.0,185.0
190,SSHSHHHHSH,True,3,9350.0,9535.0,185.0
191,SSHSHHHHHS,True,3,9350.0,9535.0,185.0
192,SSHSHHHHHH,True,3,9350.0,9535.0,185.0
193,SSHHSSSSSS,True,3,9350.0,9510.0,160.0
194,SSHHSSSSSH,True,3,9350.0,9510.0,160.0
195,SSHHSSSSHS,True,3,9350.0,9510.0,160.0
196,SSHHSSSSHH,True,3,9350.0,9510.0,160.0
197,SSHHSSSHSS,True,3,9350.0,9510.0,160.0
198,SSHHSSSHSH,True,3,9350.0,9510.0,160.0
199,SSHHSSSHHS,True,3,9350.0,9510.0,160.0
200,SSHHSSSHHH,True,3,9350.0,9510.0,160.0
201,SSHHSSHSSS,True,3,9350.0,9510.0,160.0
202,SSHHSSHSSH,True,3,9350.0,9510.0,160.0
203,SSHHSSHSHS,True,3,9350.0,9510.0,160.0
204,SSHHSSHSHH,True,3,9350.0,9510.0,160.0
205,SSHHSSHHSS,True,3,9350.0,9510.0,160.0
206,SSHHSSHHSH,True,3,9350.0,9510.0,160.0
207,SSHHSSHHHS,True,3,9350.0,9510.0,160.0
208,SSHHSSHHHH,True,3,9350.0,9510.0,160.0
209,SSHHSHSSSS,True,3,9350.0,9510.0,160.0
210,SSHHSHSSSH,True,3,9350.0,9510.0,160.0
211,SSHHSHSSHS,True,3,9350.0,9510.0,160.0
212,SSHHSHSSHH,True,3,9350.0,9510.0,160.0
213,SSHHSHSHSS,True,3,9350.0,9510.0,160.0
214,SSHHSHSHSH,True,3,9350.0,9510.0,160.0
215,SSHHSHSHHS,True,3,9350.0,9510.0,160.0
216,SSHHSHSHHH,True,3,9350.0,9510.0,160.0
217,SSHHSHHSSS,True,3,9350.0,9510.0,160.0
218,SSHHSHHSSH,True,3,9350.0,9510.0,160.0
219,SSHHSHHSHS,True,3,9350.0,9510.0,160.0
220,SSHHSHHSHH,True,3,9350.0,9510.0,160.0
221,SSHHSHHHSS,True,3,9350.0,9510.0,160.0
222,SSHHSHHHSH,True,3,9350.0,9510.0,160.0
223,SSHHSHHHHS,True,3,9350.0,9510.0,160.0
224,SSHHSHHHHH,True,3,9350.0,9510.0,160.0
225,SSHHHSSSSS,True,3,9350.0,9510.0,160.0
226,SSHHHSSSSH,True,3,9350.0,9510.0,160.0
227,SSHHHSSSHS,True,3,9350.0,9510.0,160.0
228,SSHHHSSSHH,True,3,9350.0,9510.0,160.0
229,SSHHHSSHSS,True,3,9350.0,9510.0,160.0
230,SSHHHSSHSH,True,3,9350.0,9510.0,160.0
231,SSHHHSSHHS,True,3,9350.0,9510.0,160.0
232,SSHHHSSHHH,True,3,9350.0,9510.0,160.0
233,SSHHHSHSSS,True,3,9350.0,9510.0,160.0
234,SSHHHSHSSH,True,3,9350.0,9510.0,160.0
235,SSHHHSHSHS,True,3,9350.0,9510.0,160.0
236,SSHHHSHSHH,True,3,9350.0,9510.0,160.0
237,SSHHHSHHSS,True,3,9350.0,9510.0,160.0
238,SSHHHSHHSH,True,3,9350.0,9510.0,160.0
239,SSHHHSHHHS,True,3,9350.0,9510.0,160.0
240,SSHHHSHHHH,True,3,9350.0,9510.0,160.0
241,SSHHHHSSSS,True,3,9350.0,9510.0,160.0
242,SSHHHHSSSH,True,3,9350.0,9510.0,160.0
243,SSHHHHSSHS,True,3,9350.0,9510.0,160.0
244,SSHHHHSSHH,True,3,9350.0,9510.0,160.0
245,SSHHHHSHSS,True,3,9350.0,9510.0,160.0
246,SSHHHHSHSH,True,3,9350.0,9510.0,160.0
247,SSHHHHSHHS,True,3,9350.0,9510.0,160.0
248,SSHHHHSHHH,True,3,9350.0,9510.0,160.0
249,SSHHHHHSSS,True,3,9350.0,9510.0,160.0
250,SSHHHHHSSH,True,3,9350.0,9510.0,160.0
251,SSHHHHHSHS,True,3,9350.0,9510.0,160.0
252,SSHHHHHSHH,True,3,9350.0,9510.0,160.0
253,SSHHHHHHSS,True,3,9350.0,9510.0,160.0
254,SSHHHHHHSH,True,3,9350.0,9510.0,160.0
255,SSHHHHHHHS,True,3,9350.0,9510.0,160.0
256,SSHHHHHHHH,True,3,9350.0,9510.0,160.0
257,SHSSSSSSSS,True,3,9350.0,9535.0,185.0
258,SHSSSSSSSH,True,3,9350.0,9535.0,185.0
259,SHSSSSSSHS,True,3,9350.0,9535.0,185.0
260,SHSSSSSSHH,True,3,9350.0,9535.0,185.0
261,SHSSSSSHSS,True,3,9350.0,9535.0,185.0
262,SHSSSSSHSH,True,3,9350.0,9535.0,185.0
263,SHSSSSSHHS,True,3,9350.0,9535.0,185.0
264,SHSSSSSHHH,True,3,9350.0,9535.0,185.0
265,SHSSSSHSSS,True,3,9350.0,9535.0,185.0
266,SHSSSSHSSH,True,3,9350.0,9535.0,185.0
267,SHSSSSHSHS,True,3,9350.0,9535.0,185.0
268,SHSSSSHSHH,True,3,9350.0,9535.0,185.0
269,SHSSSSHHSS,True,3,9350.0,9535.0,185.0
270,SHSSSSHHSH,True,3,9350.0,9535.0,185.0
271,SHSSSSHHHS,True,3,9350.0,9535.0,185.0
272,SHSSSSHHHH,True,3,9350.0,9535.0,185.0
273,SHSSSHSSSS,True,3,9350.0,9535.0,185.0
274,SHSSSHSSSH,True,3,9350.0,9535.0,185.0
275,SHSSSHSSHS,True,3,9350.0,9535.0,185.0
276,SHSSSHSSHH,True,3,9350.0,9535.0,185.0
277,SHSSSHSHSS,True,3,9350.0,9535.0,185.0
278,SHSSSHSHSH,True,3,9350.0,9535.0,185.0
279,SHSSSHSHHS,True,3,9350.0,9535.0,185.0
280,SHSSSHSHHH,True,3,9350.0,9535.0,185.0
281,SHSSSHHSSS,True,3,9350.0,9535.0,185.0
282,SHSSSHHSSH,True,3,9350.0,9535.0,185.0
283,SHSSSHHSHS,True,3,9350.0,9535.0,185.0
284,SHSSSHHSHH,True,3,9350.0,9535.0,185.0
285,SHSSSHHHSS,True,3,9350.0,9535.0,185.0
286,SHSSSHHHSH,True,3,9350.0,9535.0,185.0
287,SHSSSHHHHS,True,3,9350.0,9535.0,185.0
288,SHSSSHHHHH,True,3,9350.0,9535.0,185.0
289,SHSSHSSSSS,True,3,9350.0,9535.0,185.0
290,SHSSHSSSSH,True,3,9350.0,9535.0,185.0
291,SHSSHSSSHS,True,3,9350.0,9535.0,185.0
292,SHSSHSSSHH,True,3,9350.0,9535.0,185.0
293,SHSSHSSHSS,True,3,9350.0,9535.0,185.0
294,SHSSHSSHSH,True,3,9350.0,9535.0,185.0
295,SHSSHSSHHS,True,3,9350.0,9535.0,185.0
296,SHSSHSSHHH,True,3,9350.0,9535.0,185.0
297,SHSSHSHSSS,True,3,9350.0,9535.0,185.0
298,SHSSHSHSSH,True,3,9350.0,9535.0,185.0
299,SHSSHSHSHS,True,3,9350.0,9535.0,185.0
300,SHSSHSHSHH,True,3,9350.0,9535.0,185.0
301,SHSSHSHHSS,True,3,9350.0,9535.0,185.0
302,SHSSHSHHSH,True,3,9350.0,9535.0,185.0
303,SHSSHSHHHS,True,3,9350.0,9535.0,185.0
304,SHSSHSHHHH,True,3,9350.0,9535.0,185.0
305,SHSSHHSSSS,True,3,9350.0,9535.0,185.0
306,SHSSHHSSSH,True,3,9350.0,9535.0,185.0
307,SHSSHHSSHS,True,3,9350.0,9535.0,185.0
308,SHSSHHSSHH,True,3,9350.0,9535.0,185.0
309,SHSSHHSHSS,True,3,9350.0,9535.0,185.0
310,SHSSHHSHSH,True,3,9350.0,9535.0,185.0
311,SHSSHHSHHS,True,3,9350.0,9535.0,185.0
312,SHSSHHSHHH,True,3,9350.0,9535.0,185.0
313,SHSSHHHSSS,True,3,9350.0,9535.0,185.0
314,SHSSHHHSSH,True,3,9350.0,9535.0,185.0
315,SHSSHHHSHS,True,3,9350.0,9535.0,185.0
316,SHSSHHHSHH,True,3,9350.0,9535.0,185.0
317,SHSSHHHHSS,True,3,9350.0,9535.0,185.0
318,SHSSHHHHSH,True,3,9350.0,9535.0,185.0
319,SHSSHHHHHS,True,3,9350.0,9535.0,185.0
320,SHSSHHHHHH,True,3,9350.0,9535.0,185.0
321,SHSHSSSSSS,True,3,9350.0,9510.0,160.0
322,SHSHSSSSSH,True,3,9350.0,9510.0,160.0
323,SHSHSSSSHS,True,3,9350.0,9510.0,160.0
324,SHSHSSSSHH,True,3,9350.0,9510.0,160.0
325,SHSHSSSHSS,True,3,9350.0,9510.0,160.0
326,SHSHSSSHSH,True,3,9350.0,9510.0,160.0
327,SHSHSSSHHS,True,3,9350.0,9510.0,160.0
328,SHSHSSSHHH,True,3,9350.0,9510.0,160.0
329,SHSHSSHSSS,True,3,9350.0,9510.0,160.0
330,SHSHSSHSSH,True,3,9350.0,9510.0,160.0
331,SHSHSSHSHS,True,3,9350.0,9510.0,160.0
332,SHSHSSHSHH,True,3,9350.0,9510.0,160.0
333,SHSHSSHHSS,True,3,9350.0,9510.0,160.0
334,SHSHSSHHSH,True,3,9350.0,9510.0,160.0
335,SHSHSSHHHS,True,3,9350.0,9510.0,160.0
336,SHSHSSHHHH,True,3,9350.0,9510.0,160.0
337,SHSHSHSSSS,True,3,9350.0,9510.0,160.0
338,SHSHSHSSSH,True,3,9350.0,9510.0,160.0
339,SHSHSHSSHS,True,3,9350.0,9510.0,160.0
340,SHSHSHSSHH,True,3,9350.0,9510.0,160.0
341,SHSHSHSHSS,True,3,9350.0,9510.0,160.0
342,SHSHSHSHSH,True,3,9350.0,9510.0,160.0
343,SHSHSHSHHS,True,3,9350.0,9510.0,160.0
344,SHSHSHSHHH,True,3,9350.0,9510.0,160.0
345,SHSHSHHSSS,True,3,9350.0,9510.0,160.0
346,SHSHSHHSSH,True,3,9350.0,9510.0,160.0
347,SHSHSHHSHS,True,3,9350.0,9510.0,160.0
348,SHSHSHHSHH,True,3,9350.0,9510.0,160.0
349,SHSHSHHHSS,True,3,9350.0,9510.0,160.0
350,SHSHSHHHSH,True,3,9350.0,9510.0,160.0
351,SHSHSHHHHS,True,3,9350.0,9510.0,160.0
352,SHSHSHHHHH,True,3,9350.0,9510.0,160.0
353,SHSHHSSSSS,True,3,9350.0,9510.0,160.0
354,SHSHHSSSSH,True,3,9350.0,9510.0,160.0
355,SHSHHSSSHS,True,3,9350.0,9510.0,160.0
356,SHSHHSSSHH,True,3,9350.0,9510.0,160.0
357,SHSHHSSHSS,True,3,9350.0,9510.0,160.0
358,SHSHHSSHSH,True,3,9350.0,9510.0,160.0
359,SHSHHSSHHS,True,3,9350.0,9510.0,160.0
360,SHSHHSSHHH,True,3,9350.0,9510.0,160.0
361,SHSHHSHSSS,True,3,9350.0,9510.0,160.0
362,SHSHHSHSSH,True,3,9350.0,9510.0,160.0
363,SHSHHSHSHS,True,3,9350.0,9510.0,160.0
364,SHSHHSHSHH,True,3,9350.0,9510.0,160.0
365,SHSHHSHHSS,True,3,9350.0,9510.0,160.0
366,SHSHHSHHSH,True,3,9350.0,9510.0,160.0
367,SHSHHSHHHS,True,3,9350.0,9510.0,160.0
368,SHSHHSHHHH,True,3,9350.0,9510.0,160.0
369,SHSHHHSSSS,True,3,9350.0,9510.0,160.0
370,SHSHHHSSSH,True,3,9350.0,9510.0,160.0
371,SHSHHHSSHS,True,3,9350.0,9510.0,160.0
372,SHSHHHSSHH,True,3,9350.0,9510.0,160.0
373,SHSHHHSHSS,True,3,9350.0,9510.0,160.0
374,SHSHHHSHSH,True,3,9350.0,9510.0,160.0
375,SHSHHHSHHS,True,3,9350.0,9510.0,160.0
376,SHSHHHSHHH,True,3,9350.0,9510.0,160.0
377,SHSHHHHSSS,True,3,9350.0,9510.0,160.0
378,SHSHHHHSSH,True,3,9350.0,9510.0,160.0
379,SHSHHHHSHS,True,3,9350.0,9510.0,160.0
380,SHSHHHHSHH,True,3,9350.0,9510.0,160.0
381,SHSHHHHHSS,True,3,9350.0,9510.0,160.0
382,SHSHHHHHSH,True,3,9350.0,9510.0,160.0
383,SHSHHHHHHS,True,3,9350.0,9510.0,160.0
384,SHSHHHHHHH,True,3,9350.0,9510.0,160.0
385,SHHSSSSSSS,True,3,9270.0,9400.0,130.0
386,SHHSSSSSSH,True,3,9270.0,9400.0,130.0
387,SHHSSSSSHS,True,3,9270.0,9400.0,130.0
388,SHHSSSSSHH,True,3,9270.0,9400.0,130.0
389,SHHSSSSHSS,True,3,9270.0,9400.0,130.0
390,SHHSSSSHSH,True,3,9270.0,9400.0,130.0
391,SHHSSSSHHS,True,3,9270.0,9400.0,130.0
392,SHHSSSSHHH,True,3,9270.0,9400.0,130.0
393,SHHSSSHSSS,True,3,9270.0,9400.0,130.0
394,SHHSSSHSSH,True,3,9270.0,9400.0,130.0
395,SHHSSSHSHS,True,3,9270.0,9400.0,130.0
396,SHHSSSHSHH,True,3,9270.0,9400.0,130.0
397,SHHSSSHHSS,True,3,9270.0,9400.0,130.0
398,SHHSSSHHSH,True,3,9270.0,9400.0,130.0
399,SHHSSSHHHS,True,3,9270.0,9400.0,130.0
400,SHHSSSHHHH,True,3,9270.0,9400.0,130.0
401,SHHSSHSSSS,True,3,9270.0,9400.0,130.0
402,SHHSSHSSSH,True,3,9270.0,9400.0,130.0
403,SHHSSHSSHS,True,3,9270.0,9400.0,130.0
404,SHHSSHSSHH,True,3,9270.0,9400.0,130.0
405,SHHSSHSHSS,True,3,9270.0,9400.0,130.0
406,SHHSSHSHSH,True,3,9270.0,9400.0,130.0
407,SHHSSHSHHS,True,3,9270.0,9400.0,130.0
408,SHHSSHSHHH,True,3,9270.0,9400.0,130.0
409,SHHSSHHSSS,True,3,9270.0,9400.0,130.0
410,SHHSSHHSSH,True,3,9270.0,9400.0,130.0
411,SHHSSHHSHS,True,3,9270.0,9400.0,130.0
412,SHHSSHHSHH,True,3,9270.0,9400.0,130.0
413,SHHSSHHHSS,True,3,9270.0,9400.0,130.0
414,SHHSSHHHSH,True,3,9270.0,9400.0,130.0
415,SHHSSHHHHS,True,3,9270.0,9400.0,130.0
416,SHHSSHHHHH,True,3,9270.0,9400.0,130.0
417,SHHSHSSSSS,True,3,9270.0,9375.0,105.0
418,SHHSHSSSSH,True,3,9270.0,9375.0,105.0
419,SHHSHSSSHS,True,3,9270.0,9375.0,105.0
420,SHHSHSSSHH,True,3,9270.0,9375.0,105.0
421,SHHSHSSHSS,True,3,9270.0,9375.0,105.0
422,SHHSHSSHSH,True,3,9270.0,9375.0,105.0
423,SHHSHSSHHS,True,3,9270.0,9375.0,105.0
424,SHHSHSSHHH,True,3,9270.0,9375.0,105.0
425,SHHSHSHSSS,True,3,9270.0,9375.0,105.0
426,SHHSHSHSSH,True,3,9270.0,9375.0,105.0
427,SHHSHSHSHS,True,3,9270.0,9375.0,105.0
428,SHHSHSHSHH,True,3,9270.0,9375.0,105.0
429,SHHSHSHHSS,True,3,9270.0,9375.0,105.0
430,SHHSHSHHSH,True,3,9270.0,9375.0,105.0
431,SHHSHSHHHS,True,3,9270.0,9375.0,105.0
432,SHHSHSHHHH,True,3,9270.0,9375.0,105.0
433,SHHSHHSSSS,True,3,9270.0,9375.0,105.0
434,SHHSHHSSSH,True,3,9270.0,9375.0,105.0
435,SHHSHHSSHS,True,3,9270.0,9375.0,105.0
436,SHHSHHSSHH,True,3,9270.0,9375.0,105.0
437,SHHSHHSHSS,True,3,9270.0,9375.0,105.0
438,SHHSHHSHSH,True,3,9270.0,9375.0,105.0
439,SHHSHHSHHS,True,3,9270.0,9375.0,105.0
440,SHHSHHSHHH,True,3,9270.0,9375.0,105.0
441,SHHSHHHSSS,True,3,9270.0,9375.0,105.0
442,SHHSHHHSSH,True,3,9270.0,9375.0,105.0
443,SHHSHHHSHS,True,3,9270.0,9375.0,105.0
444,SHHSHHHSHH,True,3,9270.0,9375.0,105.0
445,SHHSHHHHSS,True,3,9270.0,9375.0,105.0
446,SHHSHHHHSH,True,3,9270.0,9375.0,105.0
447,SHHSHHHHHS,True,3,9270.0,9375.0,105.0
448,SHHSHHHHHH,True,3,9270.0,9375.0,105.0
449,SHHHSSSSSS,True,3,9270.0,9350.0,80.0
