日期,天气历史,当天气,行动,目标节点,鲁棒价值,名义价值
6,SSHHSH,高温,终止,13,9349.999999999996,9349.999999999998
6,SSHHHS,晴朗,终止,13,9350.0,9350.0
6,SSHHHH,高温,终止,13,9349.999999999998,9350.0
6,SHSSSS,晴朗,终止,13,9350.0,9350.0
6,SHSSSH,高温,终止,13,9350.0,9350.0
6,SHSSHS,晴朗,终止,13,9350.0,9350.0
6,SHSSHH,高温,终止,13,9350.0,9350.0
6,SHSHSS,晴朗,终止,13,9349.999999999998,9349.999999999996
6,SHSHSH,高温,终止,13,9350.0,9350.0
6,SHSHHS,晴朗,终止,13,9350.0,9350.0
6,SHSHHH,高温,终止,13,9350.0,9350.0
6,SHHSSS,晴朗,终止,13,9269.999999999998,9269.999999999998
6,SHHSSH,高温,终止,13,9269.999999999998,9269.999999999998
6,SHHSHS,晴朗,终止,13,9269.999999999998,9269.999999999998
6,SHHSHH,高温,终止,13,9269.999999999996,9269.999999999998
6,SHHHSS,晴朗,终止,13,9269.999999999998,9270.0
6,SHHHSH,高温,终止,13,9269.999999999998,9270.0
6,SHHHHS,晴朗,终止,13,9269.999999999998,9270.0
6,SHHHHH,高温,终止,13,9269.999999999998,9270.0
6,HSSSSS,晴朗,终止,13,9350.0,9350.0
6,HSSSSH,高温,终止,13,9350.0,9350.0
6,HSSSHS,晴朗,终止,13,9350.0,9350.0
6,HSSSHH,高温,终止,13,9350.0,9350.0
6,HSSHSS,晴朗,终止,13,9350.0,9350.0
6,HSSHSH,高温,终止,13,9350.0,9350.0
6,HSSHHS,晴朗,终止,13,9350.0,9350.0
6,HSSHHH,高温,终止,13,9350.0,9350.0
6,HSHSSS,晴朗,终止,13,9270.0,9270.0
6,HSHSSH,高温,终止,13,9270.0,9270.0
6,HSHSHS,晴朗,终止,13,9270.0,9270.0
6,HSHSHH,高温,终止,13,9270.0,9270.0
6,HSHHSS,晴朗,终止,13,9269.999999999998,9269.999999999998
6,HSHHSH,高温,终止,13,9269.999999999998,9270.0
6,HSHHHS,晴朗,终止,13,9269.999999999998,9270.0
6,HSHHHH,高温,终止,13,9270.0,9270.0
6,HHSSSS,晴朗,终止,13,9270.0,9270.0
6,HHSSSH,高温,终止,13,9270.0,9270.0
6,HHSSHS,晴朗,终止,13,9270.0,9270.0
6,HHSSHH,高温,终止,13,9270.0,9270.0
6,HHSHSS,晴朗,终止,13,9270.0,9270.0
6,HHSHSH,高温,终止,13,9270.0,9270.0
6,HHSHHS,晴朗,终止,13,9270.0,9270.0
6,HHSHHH,高温,终止,13,9270.0,9270.0
6,HHHSSS,晴朗,终止,13,9190.0,9190.0
6,HHHSSH,高温,终止,13,9190.0,9190.0
6,HHHSHS,晴朗,终止,13,9190.0,9190.0
6,HHHSHH,高温,终止,13,9190.0,9190.0
6,HHHHSS,晴朗,终止,13,9190.0,9190.0
6,HHHHSH,高温,终止,13,9190.0,9190.0
6,HHHHHS,晴朗,终止,13,9190.0,9190.0
6,HHHHHH,高温,终止,13,9190.0,9190.0
7,SSSSSSS,晴朗,终止,13,9430.0,9430.0
7,SSSSSSH,高温,终止,13,9430.0,9430.0
7,SSSSSHS,晴朗,终止,13,9430.0,9430.0
7,SSSSSHH,高温,终止,13,9430.0,9430.0
7,SSSSHSS,晴朗,终止,13,9430.0,9430.0
7,SSSSHSH,高温,终止,13,9430.0,9430.0
7,SSSSHHS,晴朗,终止,13,9430.0,9430.0
7,SSSSHHH,高温,终止,13,9430.0,9430.0
7,SSSHSSS,晴朗,终止,13,9430.0,9430.0
7,SSSHSSH,高温,终止,13,9430.0,9430.0
7,SSSHSHS,晴朗,终止,13,9430.0,9430.0
7,SSSHSHH,高温,终止,13,9430.0,9430.0
7,SSSHHSS,晴朗,终止,13,9430.0,9430.0
7,SSSHHSH,高温,终止,13,9430.0,9430.0
7,SSSHHHS,晴朗,终止,13,9430.0,9430.0
7,SSSHHHH,高温,终止,13,9430.0,9430.0
7,SSHSSSS,晴朗,终止,13,9350.0,9350.0
7,SSHSSSH,高温,终止,13,9350.0,9350.0
7,SSHSSHS,晴朗,终止,13,9350.0,9350.0
7,SSHSSHH,高温,终止,13,9350.0,9350.0
7,SSHSHSS,晴朗,终止,13,9350.0,9350.0
7,SSHSHSH,高温,终止,13,9350.0,9350.0
7,SSHSHHS,晴朗,终止,13,9350.0,9350.0
7,SSHSHHH,高温,终止,13,9350.0,9350.0
7,SSHHSSS,晴朗,终止,13,9350.0,9350.0
7,SSHHSSH,高温,终止,13,9350.0,9350.0
7,SSHHSHS,晴朗,终止,13,9350.0,9350.0
7,SSHHSHH,高温,终止,13,9349.999999999996,9349.999999999998
7,SSHHHSS,晴朗,终止,13,9350.0,9350.0
7,SSHHHSH,高温,终止,13,9350.0,9350.0
7,SSHHHHS,晴朗,终止,13,9350.0,9350.0
7,SSHHHHH,高温,终止,13,9349.999999999998,9350.0
7,SHSSSSS,晴朗,终止,13,9350.0,9350.0
7,SHSSSSH,高温,终止,13,9350.0,9350.0
7,SHSSSHS,晴朗,终止,13,9350.0,9350.0
7,SHSSSHH,高温,终止,13,9350.0,9350.0
7,SHSSHSS,晴朗,终止,13,9350.0,9350.0
7,SHSSHSH,高温,终止,13,9350.0,9350.0
7,SHSSHHS,晴朗,终止,13,9350.0,9350.0
7,SHSSHHH,高温,终止,13,9350.0,9350.0
7,SHSHSSS,晴朗,终止,13,9349.999999999998,9349.999999999996
7,SHSHSSH,高温,终止,13,9349.999999999998,9349.999999999996
7,SHSHSHS,晴朗,终止,13,9350.0,9350.0
7,SHSHSHH,高温,终止,13,9350.0,9350.0
7,SHSHHSS,晴朗,终止,13,9350.0,9350.0
7,SHSHHSH,高温,终止,13,9350.0,9350.0
7,SHSHHHS,晴朗,终止,13,9350.0,9350.000000000002
7,SHSHHHH,高温,终止,13,9350.0,9350.0
7,SHHSSSS,晴朗,终止,13,9269.999999999998,9269.999999999998
7,SHHSSSH,高温,终止,13,9269.999999999998,9269.999999999998
7,SHHSSHS,晴朗,终止,13,9269.999999999998,9269.999999999998
7,SHHSSHH,高温,终止,13,9269.999999999998,9269.999999999998
7,SHHSHSS,晴朗,终止,13,9269.999999999998,9269.999999999998
7,SHHSHSH,高温,终止,13,9269.999999999998,9269.999999999998
7,SHHSHHS,晴朗,终止,13,9270.0,9270.0
7,SHHSHHH,高温,终止,13,9269.999999999996,9269.999999999998
7,SHHHSSS,晴朗,终止,13,9269.999999999998,9269.999999999998
7,SHHHSSH,高温,终止,13,9269.999999999998,9270.0
7,SHHHSHS,晴朗,终止,13,9269.999999999998,9269.999999999998
7,SHHHSHH,高温,终止,13,9269.999999999998,9270.0
7,SHHHHSS,晴朗,终止,13,9269.999999999998,9269.999999999998
7,SHHHHSH,高温,终止,13,9270.0,9270.0
7,SHHHHHS,晴朗,终止,13,9269.999999999998,9269.999999999998
7,SHHHHHH,高温,终止,13,9269.999999999998,9270.0
7,HSSSSSS,晴朗,终止,13,9350.0,9350.0
7,HSSSSSH,高温,终止,13,9350.0,9350.0
7,HSSSSHS,晴朗,终止,13,9350.0,9350.0
7,HSSSSHH,高温,终止,13,9350.0,9350.0
7,HSSSHSS,晴朗,终止,13,9350.0,9350.0
7,HSSSHSH,高温,终止,13,9350.0,9350.0
7,HSSSHHS,晴朗,终止,13,9350.0,9350.0
7,HSSSHHH,高温,终止,13,9350.0,9350.0
7,HSSHSSS,晴朗,终止,13,9350.0,9350.0
7,HSSHSSH,高温,终止,13,9350.0,9350.0
7,HSSHSHS,晴朗,终止,13,9350.0,9350.0
7,HSSHSHH,高温,终止,13,9350.0,9350.0
7,HSSHHSS,晴朗,终止,13,9350.0,9350.0
7,HSSHHSH,高温,终止,13,9350.0,9350.0
7,HSSHHHS,晴朗,终止,13,9350.0,9350.0
7,HSSHHHH,高温,终止,13,9350.0,9350.0
7,HSHSSSS,晴朗,终止,13,9270.0,9270.0
7,HSHSSSH,高温,终止,13,9270.0,9270.0
7,HSHSSHS,晴朗,终止,13,9270.0,9270.0
7,HSHSSHH,高温,终止,13,9270.0,9270.0
7,HSHSHSS,晴朗,终止,13,9270.0,9270.0
7,HSHSHSH,高温,终止,13,9270.0,9270.0
7,HSHSHHS,晴朗,终止,13,9270.0,9270.0
7,HSHSHHH,高温,终止,13,9270.0,9270.0
7,HSHHSSS,晴朗,终止,13,9269.999999999998,9269.999999999998
7,HSHHSSH,高温,终止,13,9269.999999999998,9269.999999999998
7,HSHHSHS,晴朗,终止,13,9269.999999999998,9269.999999999998
7,HSHHSHH,高温,终止,13,9269.999999999998,9270.0
7,HSHHHSS,晴朗,终止,13,9269.999999999998,9269.999999999998
7,HSHHHSH,高温,终止,13,9270.0,9270.0
7,HSHHHHS,晴朗,终止,13,9270.0,9270.0
7,HSHHHHH,高温,终止,13,9270.0,9270.0
7,HHSSSSS,晴朗,终止,13,9270.0,9270.0
7,HHSSSSH,高温,终止,13,9270.0,9270.0
7,HHSSSHS,晴朗,终止,13,9270.0,9270.0
7,HHSSSHH,高温,终止,13,9270.0,9270.0
7,HHSSHSS,晴朗,终止,13,9270.0,9270.0
7,HHSSHSH,高温,终止,13,9270.0,9270.0
7,HHSSHHS,晴朗,终止,13,9270.0,9270.0
7,HHSSHHH,高温,终止,13,9270.0,9270.0
7,HHSHSSS,晴朗,终止,13,9270.0,9270.0
7,HHSHSSH,高温,终止,13,9270.0,9270.0
7,HHSHSHS,晴朗,终止,13,9270.0,9270.0
7,HHSHSHH,高温,终止,13,9270.0,9270.0
7,HHSHHSS,晴朗,终止,13,9270.0,9270.0
7,HHSHHSH,高温,终止,13,9270.0,9270.0
7,HHSHHHS,晴朗,终止,13,9270.0,9270.0
7,HHSHHHH,高温,终止,13,9270.0,9270.0
7,HHHSSSS,晴朗,终止,13,9190.0,9190.0
7,HHHSSSH,高温,终止,13,9190.0,9190.0
7,HHHSSHS,晴朗,终止,13,9190.0,9190.0
7,HHHSSHH,高温,终止,13,9190.0,9190.0
7,HHHSHSS,晴朗,终止,13,9190.0,9190.0
7,HHHSHSH,高温,终止,13,9190.0,9190.0
7,HHHSHHS,晴朗,终止,13,9190.0,9190.0
7,HHHSHHH,高温,终止,13,9190.0,9190.0
7,HHHHSSS,晴朗,终止,13,9190.0,9190.0
7,HHHHSSH,高温,终止,13,9190.0,9190.0
7,HHHHSHS,晴朗,终止,13,9190.0,9190.0
7,HHHHSHH,高温,终止,13,9190.0,9190.0
7,HHHHHSS,晴朗,终止,13,9190.0,9190.0
7,HHHHHSH,高温,终止,13,9190.0,9190.0
7,HHHHHHS,晴朗,终止,13,9190.0,9190.0
7,HHHHHHH,高温,终止,13,9190.0,9190.0
8,SSSSSSSS,晴朗,终止,13,9430.0,9430.0
8,SSSSSSSH,高温,终止,13,9430.0,9430.0
8,SSSSSSHS,晴朗,终止,13,9430.0,9430.0
8,SSSSSSHH,高温,终止,13,9430.0,9430.0
8,SSSSSHSS,晴朗,终止,13,9430.0,9430.0
8,SSSSSHSH,高温,终止,13,9430.0,9430.0
8,SSSSSHHS,晴朗,终止,13,9430.0,9430.0
8,SSSSSHHH,高温,终止,13,9430.0,9430.0
8,SSSSHSSS,晴朗,终止,13,9430.0,9430.0
8,SSSSHSSH,高温,终止,13,9430.0,9430.0
8,SSSSHSHS,晴朗,终止,13,9430.0,9430.0
8,SSSSHSHH,高温,终止,13,9430.0,9430.0
8,SSSSHHSS,晴朗,终止,13,9430.0,9430.0
8,SSSSHHSH,高温,终止,13,9430.0,9430.0
8,SSSSHHHS,晴朗,终止,13,9430.0,9430.0
8,SSSSHHHH,高温,终止,13,9430.0,9430.0
8,SSSHSSSS,晴朗,终止,13,9430.0,9430.0
8,SSSHSSSH,高温,终止,13,9430.0,9430.0
8,SSSHSSHS,晴朗,终止,13,9430.0,9430.0
8,SSSHSSHH,高温,终止,13,9430.0,9430.0
8,SSSHSHSS,晴朗,终止,13,9430.0,9430.0
8,SSSHSHSH,高温,终止,13,9430.0,9430.0
8,SSSHSHHS,晴朗,终止,13,9430.0,9430.0
8,SSSHSHHH,高温,终止,13,9430.0,9430.0
8,SSSHHSSS,晴朗,终止,13,9430.0,9430.0
8,SSSHHSSH,高温,终止,13,9430.0,9430.0
8,SSSHHSHS,晴朗,终止,13,9430.0,9430.0
8,SSSHHSHH,高温,终止,13,9430.0,9430.0
8,SSSHHHSS,晴朗,终止,13,9430.0,9430.0
8,SSSHHHSH,高温,终止,13,9430.0,9430.0
8,SSSHHHHS,晴朗,终止,13,9430.0,9430.0
8,SSSHHHHH,高温,终止,13,9430.0,9430.0
8,SSHSSSSS,晴朗,终止,13,9350.0,9350.0
8,SSHSSSSH,高温,终止,13,9350.0,9350.0
8,SSHSSSHS,晴朗,终止,13,9350.0,9350.0
8,SSHSSSHH,高温,终止,13,9350.0,9350.0
8,SSHSSHSS,晴朗,终止,13,9350.0,9350.0
8,SSHSSHSH,高温,终止,13,9350.0,9350.0
8,SSHSSHHS,晴朗,终止,13,9350.0,9350.0
8,SSHSSHHH,高温,终止,13,9350.0,9350.0
8,SSHSHSSS,晴朗,终止,13,9350.0,9350.0
8,SSHSHSSH,高温,终止,13,9350.0,9350.0
8,SSHSHSHS,晴朗,终止,13,9350.0,9350.0
8,SSHSHSHH,高温,终止,13,9350.0,9350.0
8,SSHSHHSS,晴朗,终止,13,9350.0,9350.0
8,SSHSHHSH,高温,终止,13,9350.0,9350.0
8,SSHSHHHS,晴朗,终止,13,9350.0,9350.0
8,SSHSHHHH,高温,终止,13,9350.0,9350.0
8,SSHHSSSS,晴朗,终止,13,9350.0,9350.0
8,SSHHSSSH,高温,终止,13,9350.0,9350.0
8,SSHHSSHS,晴朗,终止,13,9350.0,9350.0
8,SSHHSSHH,高温,终止,13,9350.0,9350.0
8,SSHHSHSS,晴朗,终止,13,9350.0,9350.0
8,SSHHSHSH,高温,终止,13,9350.0,9350.0
8,SSHHSHHS,晴朗,终止,13,9350.0,9350.0
8,SSHHSHHH,高温,终止,13,9349.999999999996,9349.999999999998
8,SSHHHSSS,晴朗,终止,13,9350.0,9350.0
8,SSHHHSSH,高温,终止,13,9350.0,9350.0
8,SSHHHSHS,晴朗,终止,13,9350.0,9350.0
8,SSHHHSHH,高温,终止,13,9350.0,9350.0
8,SSHHHHSS,晴朗,终止,13,9350.0,9350.0
8,SSHHHHSH,高温,终止,13,9350.0,9350.0
8,SSHHHHHS,晴朗,终止,13,9350.0,9350.0
8,SSHHHHHH,高温,终止,13,9349.999999999998,9350.0
8,SHSSSSSS,晴朗,终止,13,9350.0,9350.0
8,SHSSSSSH,高温,终止,13,9350.0,9350.0
8,SHSSSSHS,晴朗,终止,13,9350.0,9350.0
8,SHSSSSHH,高温,终止,13,9350.0,9350.0
8,SHSSSHSS,晴朗,终止,13,9350.0,9350.0
8,SHSSSHSH,高温,终止,13,9350.0,9350.0
8,SHSSSHHS,晴朗,终止,13,9350.0,9350.0
8,SHSSSHHH,高温,终止,13,9350.0,9350.0
8,SHSSHSSS,晴朗,终止,13,9350.0,9350.0
8,SHSSHSSH,高温,终止,13,9350.0,9350.0
8,SHSSHSHS,晴朗,终止,13,9350.0,9350.0
8,SHSSHSHH,高温,终止,13,9350.0,9350.0
8,SHSSHHSS,晴朗,终止,13,9350.0,9350.0
8,SHSSHHSH,高温,终止,13,9350.0,9350.0
8,SHSSHHHS,晴朗,终止,13,9350.0,9350.0
8,SHSSHHHH,高温,终止,13,9350.0,9350.0
8,SHSHSSSS,晴朗,终止,13,9349.999999999998,9349.999999999996
8,SHSHSSSH,高温,终止,13,9349.999999999998,9349.999999999996
8,SHSHSSHS,晴朗,终止,13,9349.999999999998,9349.999999999996
8,SHSHSSHH,高温,终止,13,9349.999999999998,9349.999999999996
8,SHSHSHSS,晴朗,终止,13,9350.0,9350.0
8,SHSHSHSH,高温,终止,13,9350.0,9350.0
8,SHSHSHHS,晴朗,终止,13,9350.0,9350.0
8,SHSHSHHH,高温,终止,13,9350.0,9350.0
8,SHSHHSSS,晴朗,终止,13,9350.0,9350.0
8,SHSHHSSH,高温,终止,13,9350.0,9350.0
8,SHSHHSHS,晴朗,终止,13,9350.0,9350.0
8,SHSHHSHH,高温,终止,13,9350.0,9350.0
8,SHSHHHSS,晴朗,终止,13,9350.0,9350.0
8,SHSHHHSH,高温,终止,13,9350.000000000002,9350.000000000002
8,SHSHHHHS,晴朗,终止,13,9350.0,9350.0
8,SHSHHHHH,高温,终止,13,9350.000000000002,9350.000000000002
8,SHHSSSSS,晴朗,终止,13,9269.999999999998,9269.999999999998
8,SHHSSSSH,高温,终止,13,9269.999999999998,9269.999999999998
8,SHHSSSHS,晴朗,终止,13,9269.999999999998,9269.999999999998
8,SHHSSSHH,高温,终止,13,9269.999999999998,9269.999999999998
8,SHHSSHSS,晴朗,终止,13,9269.999999999998,9269.999999999998
8,SHHSSHSH,高温,终止,13,9269.999999999998,9269.999999999998
8,SHHSSHHS,晴朗,终止,13,9269.999999999998,9269.999999999998
8,SHHSSHHH,高温,终止,13,9269.999999999998,9269.999999999998
8,SHHSHSSS,晴朗,终止,13,9269.999999999998,9269.999999999998
8,SHHSHSSH,高温,终止,13,9269.999999999998,9269.999999999998
8,SHHSHSHS,晴朗,终止,13,9269.999999999998,9269.999999999998
8,SHHSHSHH,高温,终止,13,9269.999999999998,9269.999999999998
8,SHHSHHSS,晴朗,终止,13,9270.0,9270.0
8,SHHSHHSH,高温,终止,13,9270.0,9270.0
8,SHHSHHHS,晴朗,终止,13,9269.999999999998,9269.999999999998
8,SHHSHHHH,高温,终止,13,9269.999999999996,9269.999999999998
8,SHHHSSSS,晴朗,终止,13,9269.999999999998,9269.999999999998
8,SHHHSSSH,高温,终止,13,9269.999999999998,9269.999999999998
8,SHHHSSHS,晴朗,终止,13,9269.999999999998,9269.999999999998
8,SHHHSSHH,高温,终止,13,9269.999999999998,9270.0
8,SHHHSHSS,晴朗,终止,13,9269.999999999998,9269.999999999998
8,SHHHSHSH,高温,终止,13,9269.999999999998,9269.999999999998
8,SHHHSHHS,晴朗,终止,13,9269.999999999998,9269.999999999998
8,SHHHSHHH,高温,终止,13,9270.0,9270.0
8,SHHHHSSS,晴朗,终止,13,9269.999999999998,9269.999999999998
8,SHHHHSSH,高温,终止,13,9269.999999999998,9269.999999999998
8,SHHHHSHS,晴朗,终止,13,9270.0,9270.0
8,SHHHHSHH,高温,终止,13,9270.0,9270.0
8,SHHHHHSS,晴朗,终止,13,9269.999999999998,9269.999999999998
8,SHHHHHSH,高温,终止,13,9269.999999999998,9269.999999999998
8,SHHHHHHS,晴朗,终止,13,9269.999999999998,9269.999999999998
8,SHHHHHHH,高温,终止,13,9270.0,9270.0
8,HSSSSSSS,晴朗,终止,13,9350.0,9350.0
8,HSSSSSSH,高温,终止,13,9350.0,9350.0
8,HSSSSSHS,晴朗,终止,13,9350.0,9350.0
8,HSSSSSHH,高温,终止,13,9350.0,9350.0
8,HSSSSHSS,晴朗,终止,13,9350.0,9350.0
8,HSSSSHSH,高温,终止,13,9350.0,9350.0
8,HSSSSHHS,晴朗,终止,13,9350.0,9350.0
8,HSSSSHHH,高温,终止,13,9350.0,9350.0
8,HSSSHSSS,晴朗,终止,13,9350.0,9350.0
8,HSSSHSSH,高温,终止,13,9350.0,9350.0
8,HSSSHSHS,晴朗,终止,13,9350.0,9350.0
8,HSSSHSHH,高温,终止,13,9350.0,9350.0
8,HSSSHHSS,晴朗,终止,13,9350.0,9350.0
8,HSSSHHSH,高温,终止,13,9350.0,9350.0
8,HSSSHHHS,晴朗,终止,13,9350.0,9350.0
8,HSSSHHHH,高温,终止,13,9350.0,9350.0
8,HSSHSSSS,晴朗,终止,13,9350.0,9350.0
8,HSSHSSSH,高温,终止,13,9350.0,9350.0
8,HSSHSSHS,晴朗,终止,13,9350.0,9350.0
8,HSSHSSHH,高温,终止,13,9350.0,9350.0
8,HSSHSHSS,晴朗,终止,13,9350.0,9350.0
8,HSSHSHSH,高温,终止,13,9350.0,9350.0
8,HSSHSHHS,晴朗,终止,13,9350.0,9350.0
8,HSSHSHHH,高温,终止,13,9350.0,9350.0
8,HSSHHSSS,晴朗,终止,13,9350.0,9350.0
8,HSSHHSSH,高温,终止,13,9350.0,9350.0
8,HSSHHSHS,晴朗,终止,13,9350.0,9350.0
8,HSSHHSHH,高温,终止,13,9350.0,9350.0
8,HSSHHHSS,晴朗,终止,13,9350.0,9350.0
8,HSSHHHSH,高温,终止,13,9350.0,9350.0
8,HSSHHHHS,晴朗,终止,13,9350.0,9350.0
8,HSSHHHHH,高温,终止,13,9350.0,9350.0
8,HSHSSSSS,晴朗,终止,13,9270.0,9270.0
8,HSHSSSSH,高温,终止,13,9270.0,9270.0
8,HSHSSSHS,晴朗,终止,13,9270.0,9270.0
8,HSHSSSHH,高温,终止,13,9270.0,9270.0
8,HSHSSHSS,晴朗,终止,13,9270.0,9270.0
8,HSHSSHSH,高温,终止,13,9270.0,9270.0
8,HSHSSHHS,晴朗,终止,13,9270.0,9270.0
8,HSHSSHHH,高温,终止,13,9270.0,9270.0
8,HSHSHSSS,晴朗,终止,13,9270.0,9270.0
8,HSHSHSSH,高温,终止,13,9270.0,9270.0
8,HSHSHSHS,晴朗,终止,13,9270.0,9270.0
8,HSHSHSHH,高温,终止,13,9270.0,9270.0
8,HSHSHHSS,晴朗,终止,13,9270.0,9270.0
8,HSHSHHSH,高温,终止,13,9270.0,9270.0
8,HSHSHHHS,晴朗,终止,13,9270.0,9270.0
8,HSHSHHHH,高温,终止,13,9270.0,9270.0
8,HSHHSSSS,晴朗,终止,13,9269.999999999998,9269.999999999998
8,HSHHSSSH,高温,终止,13,9269.999999999998,9269.999999999998
8,HSHHSSHS,晴朗,终止,13,9269.999999999998,9269.999999999998
8,HSHHSSHH,高温,终止,13,9269.999999999998,9269.999999999998
8,HSHHSHSS,晴朗,终止,13,9269.999999999998,9269.999999999998
8,HSHHSHSH,高温,终止,13,9269.999999999998,9269.999999999998
8,HSHHSHHS,晴朗,终止,13,9269.999999999998,9269.999999999998
8,HSHHSHHH,高温,终止,13,9269.999999999998,9270.0
8,HSHHHSSS,晴朗,终止,13,9269.999999999998,9269.999999999998
8,HSHHHSSH,高温,终止,13,9269.999999999998,9269.999999999998
8,HSHHHSHS,晴朗,终止,13,9270.0,9270.0
8,HSHHHSHH,高温,终止,13,9270.0,9270.0
8,HSHHHHSS,晴朗,终止,13,9270.0,9270.0
8,HSHHHHSH,高温,终止,13,9270.0,9270.0
8,HSHHHHHS,晴朗,终止,13,9270.0,9270.0
8,HSHHHHHH,高温,终止,13,9270.0,9270.0
8,HHSSSSSS,晴朗,终止,13,9270.0,9270.0
8,HHSSSSSH,高温,终止,13,9270.0,9270.0
8,HHSSSSHS,晴朗,终止,13,9270.0,9270.0
8,HHSSSSHH,高温,终止,13,9270.0,9270.0
8,HHSSSHSS,晴朗,终止,13,9270.0,9270.0
8,HHSSSHSH,高温,终止,13,9270.0,9270.0
8,HHSSSHHS,晴朗,终止,13,9270.0,9270.0
8,HHSSSHHH,高温,终止,13,9270.0,9270.0
8,HHSSHSSS,晴朗,终止,13,9270.0,9270.0
8,HHSSHSSH,高温,终止,13,9270.0,9270.0
8,HHSSHSHS,晴朗,终止,13,9270.0,9270.0
8,HHSSHSHH,高温,终止,13,9270.0,9270.0
8,HHSSHHSS,晴朗,终止,13,9270.0,9270.0
8,HHSSHHSH,高温,终止,13,9270.0,9270.0
8,HHSSHHHS,晴朗,终止,13,9270.0,9270.0
8,HHSSHHHH,高温,终止,13,9270.0,9270.0
